Block,Average Revenue,Total Revenue,Ride Count
41.215 -80.08,6.3,6.3,1
40.66 -73.55,20.3,20.3,1
40.795 -74.455,214.3,428.6,2
40.85 -74.085,44.55,89.1,2
40.645 -73.595,3.8,3.8,1
40.395 -63.7,0.3,0.3,1
49.805 -64.235,10.14,10.14,1
36.11 -81.655,6.0,6.0,1
40.665 -73.7,16.8,16.8,1
40.69 -74.36,14.1,28.2,2
40.9 -73.93,4.3,4.3,1
40.7 -0.115,11.3,11.3,1
40.42 -74.01,9.12,9.12,1
40.71 -74.375,77.3,154.6,2
40.75 -73.64,79.3,79.3,1
40.845 -74.01,88.87,355.47,4
40.705 -73.66,56.8,113.6,2
40.78 -73.615,95.16,95.16,1
40.735 -73.995,13.36,7500885.34,561505
40.595 -74.34,238.8,477.6,2
40.69 -73.64,62.63,187.9,3
41.44 -76.545,9.8,9.8,1
40.805 -74.365,12.55,25.1,2
40.645 -74.115,16.23,113.62,7
40.7 -73.905,16.93,4419.41,261
40.84 -73.8,11.16,11.16,1
40.705 -74.055,14.38,115.06,8
40.835 -73.98,47.64,476.43,10
40.77 -73.78,34.73,104.2,3
40.71 -74.305,22.55,45.11,2
29.12 -49.2,12.8,12.8,1
39.355 -74.45,600.36,600.36,1
40.7 -74.21,10.3,10.3,1
40.725 -73.995,14.16,9713826.66,685786
38.04 -73.555,13.0,13.0,1
42.66 -73.3,13.3,13.3,1
37.34 -70.505,11.76,11.76,1
40.925 -73.845,80.15,1041.91,13
40.635 -74.035,24.89,1319.37,53
41.125 -73.8,195.35,195.35,1
39.91 -75.165,250.3,250.3,1
40.94 -73.97,18.92,37.84,2
36.935 -72.41,20.8,20.8,1
41.7 -73.93,7.8,7.8,1
40.765 -74.11,0.3,0.3,1
40.91 -73.9,22.59,316.25,14
42.79 -62.255,9.8,9.8,1
40.73 -73.99,14.1,10535448.06,747228
41.685 -74.36,9.36,9.36,1
40.95 -73.81,108.73,434.91,4
40.675 -73.635,27.04,27.04,1
40.895 -73.825,13.25,13.25,1
40.86 -73.815,13.32,26.64,2
40.655 -73.775,63.76,701.41,11
40.81 -73.67,121.94,121.94,1
40.66 -73.96,16.94,79155.4,4672
40.995 -74.325,137.16,137.16,1
40.665 -73.8,62.64,177391.43,2832
32.675 -75.56,5.3,5.3,1
54.015 -80.325,9.3,9.3,1
40.835 -73.97,64.77,1165.9,18
40.69 -73.98,15.97,611208.44,38284
31.96 -59.39,10.37,10.37,1
40.725 -73.52,2.47,7.4,3
40.74 -73.905,17.05,125540.68,7364
40.785 -74.075,61.74,555.64,9
40.725 -73.25,133.09,266.19,2
40.65 -74.02,27.99,1063.7,38
40.945 -73.875,53.34,106.69,2
40.755 -73.655,99.12,99.12,1
40.88 -74.005,15.15,166.65,11
41.015 -74.355,5.8,5.8,1
40.895 -74.255,93.15,279.46,3
40.7 -73.66,39.67,158.7,4
40.845 -73.945,22.28,11097.17,498
40.595 -74.09,80.3,80.3,1
40.655 -73.875,15.58,358.39,23
40.65 -73.565,28.45,56.91,2
40.73 -74.525,204.35,204.35,1
47.23 -68.395,21.3,21.3,1
40.625 -74.08,17.55,35.11,2
40.67 -74.0,18.69,5121.36,274
40.925 -73.865,48.92,244.58,5
40.57 -73.91,10.56,10.56,1
40.99 -73.69,145.15,290.3,2
40.59 -73.805,104.35,417.42,4
40.705 -73.855,20.33,4269.02,210
40.725 -73.775,27.27,272.68,10
40.59 -73.705,145.3,145.3,1
40.75 -73.94,15.84,692409.97,43715
40.81 -73.945,13.89,395181.04,28448
40.885 -73.975,44.61,579.9,13
40.68 -73.37,110.3,110.3,1
40.725 -73.895,32.98,20681.14,627
40.675 -73.975,15.44,102302.13,6627
40.715 -74.355,138.13,1243.15,9
40.71 -74.185,8.79,26.36,3
40.805 -73.625,3.3,3.3,1
40.845 -74.88,8.3,8.3,1
40.7 -74.17,35.6,71.21,2
40.76 -74.375,12.46,24.92,2
40.59 -74.065,12.8,38.4,3
40.835 -73.935,28.26,2260.51,80
40.94 -74.2,171.8,171.8,1
40.765 -73.735,13.87,110.97,8
40.79 -74.235,40.0,40.0,1
40.765 -73.805,19.54,781.69,40
40.8 -73.255,152.3,152.3,1
40.63 -73.605,175.85,175.85,1
40.965 -74.065,128.57,385.7,3
37.015 -69.79,13.8,13.8,1
40.84 -73.57,120.3,120.3,1
40.62 -73.98,19.73,355.15,18
40.82 -73.945,13.04,99946.06,7666
40.835 -74.13,9.4,47.02,5
40.895 -73.635,90.3,90.3,1
40.625 -73.84,11.42,11.42,1
40.98 -73.96,48.41,193.62,4
40.95 -73.8,241.52,483.04,2
41.095 -73.425,127.05,254.1,2
40.81 -73.165,134.45,2285.58,17
40.765 -73.42,135.3,135.3,1
41.0 -73.91,0.31,0.31,1
40.755 -73.785,15.06,527.26,35
40.85 -74.47,195.8,391.6,2
41.03 -73.6,105.55,211.1,2
39.385 -74.43,13.56,13.56,1
40.875 -74.02,38.87,466.41,12
44.135 -72.79,9.8,9.8,1
40.815 -73.64,179.15,179.15,1
40.755 -74.065,13.66,54.62,4
40.66 -73.935,15.52,1024.51,66
40.87 -74.175,29.61,148.07,5
40.59 -73.735,84.85,339.41,4
40.745 -73.855,13.98,2558.59,183
48.915 -84.53,11.76,11.76,1
40.79 -74.03,57.5,287.5,5
-6.215 -51.67,63.36,63.36,1
40.805 -73.265,221.3,663.9,3
40.88 -74.09,3.3,3.3,1
40.965 -74.24,111.38,556.9,5
40.945 -73.735,70.2,140.41,2
40.68 -74.005,21.62,40057.78,1853
40.825 -74.14,49.99,249.95,5
40.515 -73.765,13.12,39.37,3
40.73 -74.06,47.64,2572.44,54
40.595 -73.935,17.08,2715.97,159
40.995 -73.885,117.2,586.0,5
-27.78 -46.93,12.74,89.18,7
40.585 -74.375,205.15,410.3,2
41.06 -73.465,244.3,244.3,1
40.725 -73.93,24.22,4238.03,175
41.315 -73.865,10.8,10.8,1
40.6 -73.465,253.5,253.5,1
40.675 -74.195,95.53,382.11,4
41.065 -73.715,180.28,540.85,3
41.02 -73.815,136.8,136.8,1
40.94 -73.935,44.3,44.3,1
41.325 -89.725,6.8,6.8,1
41.175 -73.51,225.3,225.3,1
40.795 -74.38,27.3,54.6,2
40.9 -73.89,151.58,757.91,5
40.935 -74.265,18.28,36.56,2
40.99 -73.745,120.8,120.8,1
40.675 -74.025,10.8,75.62,7
40.86 -74.37,220.89,441.78,2
40.54 -74.365,190.3,190.3,1
40.81 -74.075,69.03,2346.92,34
40.545 -74.02,13.91,41.74,3
36.94 -76.645,7.3,7.3,1
40.725 -74.54,228.97,1602.76,7
40.8 -73.9,14.32,57.28,4
40.6 -74.135,0.31,0.31,1
40.71 -74.06,36.5,839.42,23
40.65 -73.875,38.47,423.14,11
40.34 -74.425,10.79,10.79,1
40.84 -73.835,18.49,647.2,35
40.76 -73.5,108.5,542.5,5
40.655 -73.97,14.28,99.97,7
51.45 -74.145,18.0,18.0,1
40.665 -74.18,83.16,665.3,8
40.785 -74.05,34.2,1299.48,38
40.535 -74.295,207.26,829.05,4
36.51 -73.25,6.96,6.96,1
40.85 -73.89,14.98,389.37,26
41.0 -73.65,140.3,140.3,1
40.87 -74.045,84.17,168.35,2
40.81 -74.355,14.16,14.16,1
40.755 -73.945,16.13,121736.58,7549
40.575 -74.24,3.3,3.3,1
40.695 -74.08,16.53,347.18,21
40.715 -73.975,19.51,39793.5,2040
37.045 -75.395,22.8,22.8,1
40.78 -73.63,122.82,368.45,3
40.935 -74.12,9.8,29.4,3
40.835 -73.975,71.98,431.9,6
40.92 -73.83,85.48,256.43,3
40.77 -73.95,14.08,4670672.66,331824
40.725 -73.715,36.92,664.49,18
40.74 -73.425,160.09,320.18,2
41.83 -77.105,9.3,9.3,1
40.84 -73.815,12.36,12.36,1
40.74 -18.035,14.3,14.3,1
34.745 -63.01,8.5,8.5,1
40.915 -74.165,60.97,182.9,3
43.56 -77.955,12.8,12.8,1
40.82 -73.94,12.86,129384.9,10063
40.725 -73.71,53.39,533.9,10
40.825 -73.985,50.22,1155.02,23
51.445 -71.94,11.16,11.16,1
40.77 -74.08,15.17,91.02,6
40.76 -73.925,14.9,322706.96,21663
41.06 -73.945,38.76,38.76,1
40.82 -73.44,200.45,200.45,1
40.675 -73.9,17.16,3190.88,186
40.805 -74.295,95.3,95.3,1
40.305 -74.41,7.56,7.56,1
31.155 -76.19,16.8,16.8,1
41.515 -74.665,10.3,10.3,1
40.625 -74.04,32.98,626.57,19
40.725 -74.08,32.97,263.77,8
40.67 -73.845,41.76,5428.24,130
40.865 -74.005,85.3,85.3,1
40.56 -73.925,14.45,57.8,4
40.81 -74.105,95.36,4100.31,43
40.885 -73.09,5.3,5.3,1
40.89 -74.055,73.32,3445.82,47
